TURNO;LINHA;TIPO DE VIAGEM;BAIRRO;PONTO DE PASSAGEM;PARADA
ADM;LINHA 01;IDA;RIBAMAR;AV. GONÇALVES DIAS;CAMPINA – QUADRA DE ESPORTE
ADM;LINHA 01;IDA;RIBAMAR;AV. GONÇALVES DIAS;PRAÇA DO CEMITÉRIO
ADM;LINHA 01;IDA;CRUZEIRO;AV. GONÇALVES DIAS;LOJAS SANTA MARIA
ADM;LINHA 01;IDA;MOROPOIA;AV. GONÇALVES DIAS;FAROL – MARANHENSE
ADM;LINHA 01;IDA;VILA DOUTOR JULINHO;EST. DE RIBAMAR - MA 201;OUTEIRO
ADM;LINHA 01;IDA;VILA DOUTOR JULINHO;EST. DE RIBAMAR - MA 201;LICEU RIBAMARENSE
ADM;LINHA 01;IDA;VILA DOUTOR JULINHO;EST. DE RIBAMAR - MA 201;PRAÇA VERDE
ADM;LINHA 01;IDA;PAU DEITADO;AV. PRINCIPAL;IGREJA CATOLICA
ADM;LINHA 01;IDA;PIÇARREIRA;EST. DE RIBAMAR - MA 201;POSTO MARACAJÁ
ADM;LINHA 01;IDA;PIÇARREIRA;EST. DE RIBAMAR - MA 201;PARADA OBRIGATORIA
ADM;LINHA 01;IDA;PIÇARREIRA;EST. DE RIBAMAR - MA 201;CONDOMINIO MARGARETH ALENCAR
ADM;LINHA 01;IDA;PINDAI;EST. DE RIBAMAR - MA 201;COMERCIAL LELECA
ADM;LINHA 01;IDA;PORTAL DO PAÇO;EST. DE RIBAMAR - MA 201;POSTO OTON
ADM;LINHA 01;IDA;RIO SÃO JOAO;EST. DE RIBAMAR - MA 201;PORTAL DO PAÇO
ADM;LINHA 01;IDA;LARANJAL;EST. DE RIBAMAR - MA 201;IGREJA DO RIO SÃO JOÃO
ADM;LINHA 01;IDA;LARANJAL;EST. DE RIBAMAR - MA 201;ENTRADA DO CONDOMINIO TRACOÁ
ADM;LINHA 01;VOLTA;RIO SÃO JOAO;EST. DE RIBAMAR - MA 201;ENTRADA DO CONDOMINIO TRACOÁ
ADM;LINHA 01;VOLTA;RIO SÃO JOAO;EST. DE RIBAMAR - MA 201;IGREJA DO RIO SÃO JOÃO
ADM;LINHA 01;VOLTA;RIO SÃO JOAO;EST. DE RIBAMAR - MA 201;PORTAL DO PAÇO
ADM;LINHA 01;VOLTA;PORTAL DO PAÇO;EST. DE RIBAMAR - MA 201;POSTO OTON
ADM;LINHA 01;VOLTA;PINDAI;EST. DE RIBAMAR - MA 201;COMERCIAL LELECA
ADM;LINHA 01;VOLTA;PIÇARREIRA;EST. DE RIBAMAR - MA 201;CONDOMINIO MARGARETH ALENCAR
ADM;LINHA 01;VOLTA;PIÇARREIRA;EST. DE RIBAMAR - MA 201;PARADA OBRIGATORIA
ADM;LINHA 01;VOLTA;PIÇARREIRA;EST. DE RIBAMAR - MA 201;POSTO MARACAJÁ
ADM;LINHA 01;VOLTA;PAU DEITADO;AV. PRINCIPAL;IGREJA CATOLICA
ADM;LINHA 01;VOLTA;VILA DOUTOR JULINHO;EST. DE RIBAMAR - MA 201;PRAÇA VERDE
